Question,Answer
"A factory machine fills water bottles at a rate of 120 bottles per minute. It takes 3 minutes to load the empty bottles into the machine and 5 minutes to package the filled bottles for shipping. If the factory has an order for 3000 water bottles, how many minutes in total will it take to complete the order?","To fill 3000 bottles at a rate of 120 bottles per minute, it will take 3000/120 = <<3000/120=25>>25 minutes.
Loading the empty bottles takes 3 minutes.
Packaging the filled bottles takes 5 minutes.
The total time to complete the order is 25 + 3 + 5 = <<25+3+5=33>>33 minutes.
#### 33"
"A toy car is traveling on a train track at a speed of 5 feet per second. It takes the toy car 12 seconds to complete one loop around the track. A toy airplane is flying in circles above the track at a speed of 10 feet per second. It takes the airplane 8 seconds to complete one loop in the air. After 2 minutes, how many more feet has the airplane traveled compared to the toy car?","The toy car travels at 5 feet per second, so in one loop it goes 5 * 12 = <<5*12=60>>60 feet.
In 2 minutes (120 seconds), the toy car completes 120 / 12 = <<120/12=10>>10 loops.
The total distance the toy car travels is 10 * 60 = <<10*60=600>>600 feet.
The toy airplane travels at 10 feet per second, so in one loop it goes 10 * 8 = <<10*8=80>>80 feet. 
In 2 minutes (120 seconds), the toy airplane completes 120 / 8 = <<120/8=15>>15 loops.
The total distance the toy airplane travels is 15 * 80 = <<15*80=1200>>1200 feet.
The airplane traveled 1200 - 600 = <<1200-600=600>>600 feet more than the toy car.
#### 600"
"A construction crew is paving a road that will be 12 miles long. They have already completed 4 miles of the road, and at their current pace, they can pave 2 miles per day. The crew works 5 days a week. How many weeks will it take for them to finish paving the entire road?","The road is 12 miles long, and the crew has already paved 4 miles. This means they have 12 - 4 = <<12-4=8>>8 miles left to pave.
The crew can pave 2 miles per day, and they work 5 days a week. This means they can pave 2 * 5 = <<2*5=10>>10 miles per week.
To calculate the number of weeks needed to pave the remaining 8 miles, we divide 8 by 10 miles per week: 8 / 10 = <<8/10=0.8>>0.8 weeks.
Since the crew can only work in full weeks, we round up to the nearest whole number. Therefore, it will take the crew <<round(0.8)=1>>1 week to finish paving the entire road.
#### 1"
"A cyclist pedals at a speed of 15 miles per hour for 2 hours in the morning. In the afternoon, he increases his speed to 18 miles per hour and rides for another 3 hours before taking a break. After his break, he rides for 1 more hour at a slower pace of 12 miles per hour. How many total miles did the cyclist ride?","In the morning, the cyclist rode 15 miles per hour * 2 hours = <<15*2=30>>30 miles.
In the afternoon, he rode 18 miles per hour * 3 hours = <<18*3=54>>54 miles.
After his break, he rode 12 miles per hour * 1 hour = <<12*1=12>>12 miles.
In total, the cyclist rode 30 + 54 + 12 = <<30+54+12=96>>96 miles.
#### 96"
"A cruise ship travels at a speed of 20 knots per hour. It takes 3 hours to reach its first destination, and another 5 hours to reach the second destination from there. If the ship stays at the first destination for 2 hours, how long does the entire trip take in hours?","The cruise ship travels for 3 hours to reach the first destination.
It stays at the first destination for 2 hours.
It then travels for another 5 hours to reach the second destination.
So, the total trip time is 3 + 2 + 5 = <<3+2+5=10>>10 hours.
#### 10"
"A snail is trying to climb out of a well that is 20 feet deep. Each day, the snail climbs up 4 feet, but overnight, it slides back down 2 feet. Starting from the bottom of the well on day 1, how many days will it take for the snail to climb out of the well?","On day 1, the snail climbs up 4 feet and slides back 2 feet, gaining 4 - 2 = <<4-2=2>>2 feet. It ends the day 2 feet up the well.
On day 2, the snail climbs up another 4 feet to 2 + 4 = <<2+4=6>>6 feet, then slides back 2 feet to 6 - 2 = <<6-2=4>>4 feet up the well.
On day 3, the snail climbs up 4 feet to 4 + 4 = <<4+4=8>>8 feet, then slides back to 8 - 2 = <<8-2=6>>6 feet up the well.
On day 4, the snail climbs up 4 feet to 6 + 4 = <<6+4=10>>10 feet, then slides back to 10 - 2 = <<10-2=8>>8 feet up the well.
On day 5, the snail climbs up 4 feet to 8 + 4 = <<8+4=12>>12 feet, then slides back to 12 - 2 = <<12-2=10>>10 feet up the well.
On day 6, the snail climbs up 4 feet to 10 + 4 = <<10+4=14>>14 feet, then slides back to 14 - 2 = <<14-2=12>>12 feet up the well.
On day 7, the snail climbs up 4 feet to 12 + 4 = <<12+4=16>>16 feet, then slides back to 16 - 2 = <<16-2=14>>14 feet up the well.
On day 8, the snail climbs up 4 feet to 14 + 4 = <<14+4=18>>18 feet, then slides back to 18 - 2 = <<18-2=16>>16 feet up the well.
On day 9, the snail climbs the remaining 4 feet and reaches the top of the well.
Therefore, it will take the snail 9 days to climb out of the 20-foot well.
#### 9"
"A factory produces widgets at a rate of 120 per hour. The factory runs for 8 hours per day, 5 days per week. Due to high demand, the factory increases its production rate by 20% and adds an extra 2 hours to each workday. How many additional widgets will the factory produce in a week at the new rate and schedule compared to the old one?","Initially, the factory produces 120 widgets per hour * 8 hours per day * 5 days per week = 120 * 8 * 5 = <<120*8*5=4800>>4800 widgets per week.
With the 20% increase, the new production rate is 120 + (120 * 0.20) = 120 + 24 = <<120+24=144>>144 widgets per hour.
The new schedule is 10 hours per day, 5 days per week.
At the new rate and schedule, the factory produces 144 widgets per hour * 10 hours per day * 5 days per week = 144 * 10 * 5 = <<144*10*5=7200>>7200 widgets per week.
The difference in weekly production is 7200 - 4800 = <<7200-4800=2400>>2400 additional widgets per week.
#### 2400"
"A cargo ship travels at a speed of 20 knots for 6 hours, then increases its speed to 25 knots for another 4 hours. A passenger ship travels at a constant speed of 30 knots for 8 hours. How much farther did the passenger ship travel compared to the cargo ship, in nautical miles?","The cargo ship traveled at 20 knots for 6 hours, covering a distance of 20 * 6 = <<20*6=120>>120 nautical miles.
Then, it increased its speed to 25 knots for 4 hours, covering an additional distance of 25 * 4 = <<25*4=100>>100 nautical miles.
In total, the cargo ship traveled 120 + 100 = <<120+100=220>>220 nautical miles.
The passenger ship traveled at a constant speed of 30 knots for 8 hours, covering a distance of 30 * 8 = <<30*8=240>>240 nautical miles.
Therefore, the passenger ship traveled 240 - 220 = <<240-220=20>>20 nautical miles farther than the cargo ship.
#### 20"
"A lawn mower can mow a lawn in 45 minutes at a slow speed and 30 minutes at a fast speed. If the lawn mower is used at the slow speed for the first 15 minutes and then switched to the fast speed for the remainder of the time, how many minutes in total will it take to mow the lawn?","After mowing at the slow speed for 15 minutes, there are 45 - 15 = <<45-15=30>>30 minutes of mowing left at the slow speed.
Since 30 minutes of mowing at the slow speed is equivalent to 30 / 45 * 30 = <<30/45*30=20>>20 minutes of mowing at the fast speed, there are 20 minutes of mowing left at the fast speed.
Therefore, the total mowing time will be 15 + 20 = <<15+20=35>>35 minutes.
#### 35"
"A recipe calls for 2 cups of flour for every 3 cups of sugar. If Samantha wants to make a larger batch using 15 cups of sugar, how many cups of flour will she need?","The recipe uses a ratio of 2 cups flour to 3 cups sugar. 
To find the amount of flour needed for 15 cups sugar, set up a proportion:
2/3 = x/15, where x is the unknown amount of flour.
Cross multiply: 3x = 2 * 15
3x = <<2*15=30>>30
x = 30/3 = <<30/3=10>>10
Therefore, Samantha will need 10 cups of flour to make the larger batch.
#### 10"
