Question,Answer
Maya is 12 years younger than her brother Liam. Liam will be 32 years old in 6 years. What will be the combined age of Maya and Liam in 8 years?,"Liam will be 32 years old in 6 years, so his current age is 32 - 6 = <<32-6=26>>26 years old.
Maya is 12 years younger than Liam, so her current age is 26 - 12 = <<26-12=14>>14 years old.
In 8 years, Liam will be 26 + 8 = <<26+8=34>>34 years old.
In 8 years, Maya will be 14 + 8 = <<14+8=22>>22 years old.
The combined age of Maya and Liam in 8 years will be 34 + 22 = <<34+22=56>>56 years old.
#### 56"
"Jack's grandfather is 84 years old, which is 6 times as old as Jack will be in 5 years. Jack's father is half the age of Jack's grandfather. How old is Jack's father now?","Let's start by finding Jack's age in 5 years. We know that will be 1/6 of his grandfather's current age.
Grandfather's age / 6 = Jack's age in 5 years
84 / 6 = <<84/6=14>>14
So in 5 years, Jack will be 14 years old. That means Jack is currently 14 - 5 = <<14-5=9>>9 years old.
Now, we know that Jack's father is half the age of Jack's grandfather.
Grandfather's age / 2 = Father's age
84 / 2 = <<84/2=42>>42
Therefore, Jack's father is 42 years old now.
#### 42"
"Maya is currently 12 years old, and her mother is 32. Maya's grandfather is 4 times older than Maya's mother. In how many years will Maya's grandfather be twice as old as Maya and her mother combined?","Maya's mother is currently 32 years old.
Maya's grandfather is 32 * 4 = <<32*4=128>>128 years old.
In x years, Maya will be 12 + x years old and her mother will be 32 + x years old.
Maya's grandfather will be twice as old as Maya and her mother combined when:
128 + x = 2(12 + x + 32 + x)
128 + x = 2(44 + 2x)
128 + x = 88 + 4x
3x = 40
x = <<40/3=13.333333333333334>>13 (rounded to nearest whole number)
Maya's grandfather will be twice as old as Maya and her mother combined in 13 years.
#### 13"
"Theo is 12 years younger than his sister Anna. In 5 years, Anna will be twice as old as Theo. How old is Theo now?","Let's say Theo is x years old now. Then his sister Anna is x + 12 years old now.
In 5 years, Theo will be x + 5 years old and Anna will be x + 12 + 5 = x + 17 years old.
We know that in 5 years, Anna will be twice as old as Theo. So, x + 17 = 2(x + 5)
x + 17 = 2x + 10
17 = x + 10
x = <<17-10=7>>7
So, Theo is 7 years old now.
#### 7"
"Three years ago, John was 4 times as old as his daughter Mary. In 6 years, John will be 2 times as old as Mary. How old is John now?","Let's say Mary is x years old now. Then, John would be 4x+3 years old now.
In 6 years, Mary would be x+6 years old, and John would be 4x+9 years old.
According to the question, in 6 years, John will be 2 times as old as Mary.
So, 4x+9 = 2(x+6)
4x+9 = 2x+12
2x = 3
x = <<3/2=1.5>>1.5
Since x represents Mary's current age and it needs to be a whole number, we round 1.5 to 2.
If Mary is 2 years old now, then John is currently 4*2+3 = <<4*2+3=11>>11 years old.
#### 11"
"Julia is 32 years old and her daughter Sophie is 5 years old. Julia's mother, Grace, is 28 years older than Julia. In how many years will Grace's age be twice the combined ages of Julia and Sophie?","Currently, Julia is 32 years old and Sophie is 5 years old.
Their combined ages are 32 + 5 = <<32+5=37>>37 years old.
Grace is 28 years older than Julia, so Grace is currently 32 + 28 = <<32+28=60>>60 years old.
In x years, Julia will be 32 + x years old, and Sophie will be 5 + x years old.
Their combined ages in x years will be (32 + x) + (5 + x) = 37 + 2x years old.
Grace's age in x years will be 60 + x years old.
To find when Grace's age will be twice the combined ages of Julia and Sophie, we set up the equation:
60 + x = 2(37 + 2x)
60 + x = 74 + 4x
-3x = 14
x = <<14/-3=-4.67>>-4.67, which rounds to <<round(-4.67)=-5>>-5
Since x is negative, this means that Grace's age was twice the combined ages of Julia and Sophie 5 years ago.
#### -5"
"Jesse is 12 years younger than his brother Mark. In 6 years, Mark will be twice as old as Jesse is now. How old will Jesse be in 10 years?","Let J be Jesse's current age and M be Mark's current age.
Mark is 12 years older than Jesse, so M = J + 12.
In 6 years, Mark will be twice Jesse's current age. So M + 6 = 2J
Substitute M with J + 12:
J + 12 + 6 = 2J
J + 18 = 2J
18 = J
Jesse is currently 18 years old.
In 10 years, Jesse will be 18 + 10 = <<18+10=28>>28 years old.
#### 28"
"Maya is 12 years younger than her brother Tim. Four years ago, Tim was twice as old as Maya. How old will Maya be in 7 years?","Let's say Maya's current age is x. Then, Tim's current age is x + 12.
Four years ago, Maya was x - 4 years old, and Tim was x + 12 - 4 = x + 8 years old.
According to the question, four years ago, Tim was twice as old as Maya:
x + 8 = 2(x - 4)
x + 8 = 2x - 8
8 = x
So Maya's current age is 8 years old.
In 7 years, Maya will be 8 + 7 = <<8+7=15>>15 years old.
#### 15"
Zoe is 12 years younger than her brother Mike. Mike will be 30 years old in 6 years. How old was Zoe 3 years ago?,"Mike is currently 30 - 6 = <<30-6=24>>24 years old.
Since Zoe is 12 years younger than Mike, she is currently 24 - 12 = <<24-12=12>>12 years old.
3 years ago, Zoe was 12 - 3 = <<12-3=9>>9 years old.
#### 9"
Lisa is 32 years old and her daughter Emma is 4 years old. In how many years will Lisa be twice as old as Emma?,"Let's call the number of years from now 'x'.
In 'x' years, Lisa's age will be 32 + x.
In 'x' years, Emma's age will be 4 + x.
We need to solve the equation: 32 + x = 2(4 + x)
32 + x = 8 + 2x
32 - 8 = 2x - x
24 = x
Therefore, in 24 years, Lisa will be twice as old as Emma.
#### 24"
"Liam is 12 years younger than his sister Emma. Liam is also 3 years older than his brother Noah. In 5 years, what will be the sum of all their ages if Emma is currently 19 years old?","Emma is currently 19 years old. In 5 years, she will be 19 + 5 = <<19+5=24>>24 years old.
Liam is 12 years younger than Emma, so he is currently 19 - 12 = <<19-12=7>>7 years old.
In 5 years, Liam will be 7 + 5 = <<7+5=12>>12 years old. 
Noah is 3 years younger than Liam, so he is currently 7 - 3 = <<7-3=4>>4 years old.
In 5 years, Noah will be 4 + 5 = <<4+5=9>>9 years old.
In 5 years, the sum of all their ages will be 24 + 12 + 9 = <<24+12+9=45>>45 years old.
#### 45"
"Ethan is 9 years younger than his sister Sophia. In 5 years, Sophia will be twice as old as Ethan. How old is Ethan now?","Let's say Ethan is x years old now. Then, Sophia is x + 9 years old now.
In 5 years, Ethan will be x + 5 years old, and Sophia will be x + 9 + 5 = x + 14 years old.
We know that in 5 years, Sophia will be twice Ethan's age, so:
x + 14 = 2(x + 5)
x + 14 = 2x + 10
14 = x + 10
x = <<14-10=4>>4
Therefore, Ethan is 4 years old now.
#### 4"
"Jordan is 12 years younger than his sister Samantha. In 6 years, Samantha will be twice as old as Jordan. How old is Samantha now?","Let's say Samantha is x years old now. Then, Jordan is x - 12 years old now.
In 6 years, Samantha will be x + 6 years old and Jordan will be (x - 12) + 6 = x - 6 years old.
We know that in 6 years, Samantha will be twice Jordan's age, so:
x + 6 = 2(x - 6)
x + 6 = 2x - 12
18 = x
Therefore, Samantha is <<18=18>>18 years old now.
#### 18"
"Susie is 4 years younger than her brother Tom. In 6 years, the sum of their ages will be 58. How old is Tom now?","Let's say Tom's current age is x. Then, Susie's current age is x - 4.
In 6 years, Tom will be x + 6 years old, and Susie will be (x - 4) + 6 = x + 2 years old.
We know that the sum of their ages in 6 years will be 58.
(x + 6) + (x + 2) = 58
2x + 8 = 58
2x = 58 - 8
2x = <<58-8=50>>50
x = 50 / 2 = <<50/2=25>>25
Therefore, Tom is 25 years old now.
#### 25"
"John is 24 years old, which is twice the age of his sister Kate. Their father, Mark, is 30 years older than John. If their mother, Sarah, is 3 years younger than Mark, how old will Sarah be in 10 years?","John is 24 years old, and Kate is half his age, so Kate is 24 / 2 = <<24/2=12>>12 years old.
Mark is 30 years older than John, so Mark is 24 + 30 = <<24+30=54>>54 years old.
Sarah is 3 years younger than Mark, so Sarah is 54 - 3 = <<54-3=51>>51 years old.
In 10 years, Sarah will be 51 + 10 = <<51+10=61>>61 years old.
#### 61"
"Liam is 12 years younger than his older sister Sophie. In 5 years, Sophie will be twice as old as Liam. How old will Liam be in 10 years?","Let's say Liam is currently x years old. Then, Sophie is currently x + 12 years old.
In 5 years, Liam will be x + 5 years old, and Sophie will be x + 12 + 5 = x + 17 years old.
We know that in 5 years, Sophie will be twice Liam's age, so:
x + 17 = 2(x + 5)
x + 17 = 2x + 10
17 = x + 10
x = <<17-10=7>>7
So, Liam is currently 7 years old.
In 10 years, Liam will be 7 + 10 = <<7+10=17>>17 years old.
#### 17"
