Question,Answer
"A small business that makes custom furniture has been growing steadily. In the first year, they made $50,000 in revenue. The second year, their revenue increased by 20%. In the third year, their revenue was 1.5 times the revenue of the second year. If this trend continues, with revenue increasing by 50% in the fourth year compared to the third year, what will be their total revenue over the four years?","In the first year, the revenue was $50,000.
In the second year, the revenue increased by 20%: $50,000 * 1.2 = <<50000*1.2=60000>>$60,000.
In the third year, the revenue was 1.5 times the second year: $60,000 * 1.5 = <<60000*1.5=90000>>$90,000.
In the fourth year, the revenue increased by 50% compared to the third year: $90,000 * 1.5 = <<90000*1.5=135000>>$135,000.
The total revenue over the four years is: $50,000 + $60,000 + $90,000 + $135,000 = <<50000+60000+90000+135000=335000>>$335,000.
#### 335000"
"A small town's population is growing at a rate of 5% per year. If the town currently has 12,000 residents, approximately how many residents will the town have after 3 years of growth at this rate?","To calculate the population after 3 years, we need to increase the current population by 5% each year.

After 1 year: 12,000 * 1.05 = <<12000*1.05=12600>>12,600 residents
After 2 years: 12,600 * 1.05 = <<12600*1.05=13230>>13,230 residents
After 3 years: 13,230 * 1.05 = <<13230*1.05=13892>>13,892 residents (rounded to the nearest whole number)

Therefore, after 3 years of growth at a rate of 5% per year, the town will have approximately 13,892 residents.
#### 13892"
"A small business is experiencing steady growth in its customer base. At the start of the year, they had 500 customers. Each month, they gain 20% more customers compared to the previous month. How many customers will the business have at the end of the 6th month, rounded to the nearest whole number?","Month 1: 500 * 1.20 = <<500*1.20=600>>600 customers
Month 2: 600 * 1.20 = <<600*1.20=720>>720 customers
Month 3: 720 * 1.20 = <<720*1.20=864>>864 customers
Month 4: 864 * 1.20 = <<864*1.20=1037>>1037 customers (rounded to the nearest whole number)
Month 5: 1037 * 1.20 = <<1037*1.20=1244>>1244 customers (rounded to the nearest whole number)
Month 6: 1244 * 1.20 = <<1244*1.20=1493>>1493 customers (rounded to the nearest whole number)
#### 1493"
"A small town has a population of 10,000 people. Each year, the population grows by 5%. If this growth rate continues, what will the population of the town be after 6 years?","Start with the initial population of 10,000.
After 1 year: 10,000 * 1.05 = <<10000*1.05=10500>>10,500
After 2 years: 10,500 * 1.05 = <<10500*1.05=11025>>11,025
After 3 years: 11,025 * 1.05 = <<11025*1.05=11576>>11,576
After 4 years: 11,576 * 1.05 = <<11576*1.05=12155>>12,155
After 5 years: 12,155 * 1.05 = <<12155*1.05=12763>>12,763
After 6 years: 12,763 * 1.05 = <<12763*1.05=13401>>13,401
So after 6 years, the population of the town will be 13,401 people.
#### 13401"
"A scientist is studying the growth of a rare bacteria colony. She starts with a petri dish containing 500 bacteria cells. Each day, the number of bacteria cells increases by 20% from the previous day's count. How many bacteria cells will be present after 5 days of growth?","Start with 500 bacteria cells.
After day 1, there will be 500*1.2=<<500*1.2=600>>600 bacteria cells.
After day 2, there will be 600*1.2=<<600*1.2=720>>720 bacteria cells.
After day 3, there will be 720*1.2=<<720*1.2=864>>864 bacteria cells.
After day 4, there will be 864*1.2=<<864*1.2=1037>>1037 bacteria cells.
After day 5, there will be 1037*1.2=<<1037*1.2=1244>>1244 bacteria cells.
#### 1244"
"A pond of lilypads doubles in size every week. If the pond started with just 5 lilypads, and it took 7 weeks for the entire pond to be covered, how many lilypads were there in the pond at the start of the 5th week?","We know it took 7 weeks to cover the pond, so let's work backwards from there.
At the end of the 7th week, the pond was completely covered.
At the start of the 7th week, the pond was half covered.
At the start of the 6th week, the pond was a quarter covered.
At the start of the 5th week, the pond was an eighth covered.
Since we started with 5 lilypads and it doubled each week, at the start of the 5th week there would be 5 * 2^4 = 5 * 16 = <<5*16=80>>80 lilypads.
#### 80"
"A small town's population is growing at a rate of 5% per year. If the current population is 10,000 people, what will the population be after 6 years, rounded to the nearest whole number?","The population after 1 year will be 10,000 * 1.05 = <<10000*1.05=10500>>10,500 people.
The population after 2 years will be 10,500 * 1.05 = <<10500*1.05=11025>>11,025 people.
The population after 3 years will be 11,025 * 1.05 = <<11025*1.05=11576.25>>11,576 people.
The population after 4 years will be 11,576 * 1.05 = <<11576*1.05=12154.8>>12,155 people.
The population after 5 years will be 12,155 * 1.05 = <<12155*1.05=12762.75>>12,763 people.
The population after 6 years will be 12,763 * 1.05 = <<12763*1.05=13401.15>>13,401 people.
#### 13401"
A bacteria culture starts with 500 cells and doubles in size every 30 minutes. How many bacteria cells will be present after 3 hours?,"The bacteria culture doubles every 30 minutes, which means it will double 6 times in 3 hours (since there are 6 30-minute periods in 3 hours).
Start: 500
After 30 min: 500 * 2 = <<500*2=1000>>1000
After 60 min: 1000 * 2 = <<1000*2=2000>>2000
After 90 min: 2000 * 2 = <<2000*2=4000>>4000
After 120 min: 4000 * 2 = <<4000*2=8000>>8000 
After 150 min: 8000 * 2 = <<8000*2=16000>>16000
After 180 min: 16000 * 2 = <<16000*2=32000>>32000
Therefore, after 3 hours (180 minutes), there will be 32000 bacteria cells present.
#### 32000"
"A small business has a starting inventory of 500 units of a product. Each month, they sell 20% of their current inventory. At the end of each month, they restock by adding 100 units to their remaining inventory. How many units will they have in their inventory after 3 months?","Starting inventory: 500 units
After the first month:
Sold: 20% of 500 = 0.2 * 500 = <<0.2*500=100>>100 units
Remaining: 500 - 100 = <<500-100=400>>400 units
Restock: 400 + 100 = <<400+100=500>>500 units
After the second month:
Sold: 20% of 500 = 0.2 * 500 = <<0.2*500=100>>100 units 
Remaining: 500 - 100 = <<500-100=400>>400 units
Restock: 400 + 100 = <<400+100=500>>500 units
After the third month:
Sold: 20% of 500 = 0.2 * 500 = <<0.2*500=100>>100 units
Remaining: 500 - 100 = <<500-100=400>>400 units 
Restock: 400 + 100 = <<400+100=500>>500 units
Therefore, after 3 months, the small business will have 500 units in their inventory.
#### 500"
"A small business owner is tracking her company's growth over time. When she first started the business 5 years ago, she had 10 clients. Each year, the number of clients increased by 20%. How many clients does she have today?","Starting with 10 clients, a 20% increase would result in 10 * 1.20 = <<10*1.20=12>>12 clients after the first year.
In the second year, with 12 clients, a 20% increase leads to 12 * 1.20 = <<12*1.20=14.4>>14 clients (rounded down).
In the third year, with 14 clients, a 20% increase results in 14 * 1.20 = <<14*1.20=16.8>>17 clients (rounded up).
In the fourth year, with 17 clients, a 20% increase means 17 * 1.20 = <<17*1.20=20.4>>20 clients (rounded down).
Finally, in the fifth year, with 20 clients, a 20% increase leads to 20 * 1.20 = <<20*1.20=24>>24 clients.
Therefore, after 5 years of 20% annual growth, the small business owner now has 24 clients.
#### 24"
