Question,Answer
"A baker uses 2.5 cups of flour to make a loaf of bread. If he has 37.5 cups of flour, how many full loaves can he make, and how many cups of flour will be left over?","To determine the number of loaves, we divide the total cups of flour by the cups needed per loaf:
37.5 cups / 2.5 cups per loaf = <<37.5/2.5=15>>15 loaves
To calculate the leftover flour, we multiply the number of loaves by the cups of flour per loaf and subtract from the total:
37.5 cups - (15 loaves * 2.5 cups per loaf) = <<37.5-(15*2.5)=0>>0 cups left over
So the baker can make 15 full loaves with no flour left over.
#### 15"
"A factory produces 150 smartphones per hour. Each smartphone requires 12 different components to assemble. If the factory operates for 8 hours per day, 5 days per week, how many total components are needed to maintain full production for 3 weeks?","The factory produces 150 smartphones per hour, and operates 8 hours per day.
So, the daily smartphone production is 150 * 8 = <<150*8=1200>>1200 smartphones.
The factory operates 5 days per week, so the weekly smartphone production is 1200 * 5 = <<1200*5=6000>>6000 smartphones.
Over 3 weeks, the total smartphone production will be 6000 * 3 = <<6000*3=18000>>18000 smartphones.
Each smartphone requires 12 components.
So, the total number of components needed for 3 weeks of production is 18000 * 12 = <<18000*12=216000>>216000 components.
#### 216000"
"A small town has a population of 12,500 people. The town's population increases by about 2.5% each year. Assuming this trend continues, what will the population of the town be after 6 years?","To calculate the population after 6 years, we need to increase the current population by 2.5% each year for 6 years.
First year: 12,500 * 1.025 = <<12500*1.025=12812.5>>12,813
Second year: 12,813 * 1.025 = <<12813*1.025=13133.325>>13,133
Third year: 13,133 * 1.025 = <<13133*1.025=13461.325>>13,461
Fourth year: 13,461 * 1.025 = <<13461*1.025=13797.525>>13,798
Fifth year: 13,798 * 1.025 = <<13798*1.025=14142.95>>14,143
Sixth year: 14,143 * 1.025 = <<14143*1.025=14496.575>>14,497
After 6 years, assuming a 2.5% annual increase, the town's population will be approximately 14,497 people.
#### 14497"
"A bakery uses 2.5 cups of flour to make a batch of 18 cookies. If a cup of flour weighs 4.25 ounces, how many pounds of flour does the bakery need to make 540 cookies?","To make 18 cookies, the bakery needs 2.5 cups of flour.
To determine the number of batches needed for 540 cookies: 540 cookies / 18 cookies per batch = <<540/18=30>>30 batches.
For 30 batches, the bakery needs 30 * 2.5 = <<30*2.5=75>>75 cups of flour.
One cup of flour weighs 4.25 ounces, so 75 cups weigh 75 * 4.25 = <<75*4.25=318.75>>318.75 ounces.
To convert ounces to pounds, divide by 16 since 1 pound = 16 ounces.
318.75 ounces / 16 ounces per pound ≈ <<round(318.75/16)=20>>20 pounds.
The bakery needs approximately 20 pounds of flour to make 540 cookies.
#### 20"
"A farmer is transporting his harvest of 2,430 pounds of apples in crates. Each crate can hold 45 pounds of apples. The farmer's truck can carry a maximum load of 1,800 pounds in a single trip. If the farmer plans to sell the apples at the market for $1.25 per pound, how much revenue will he generate from selling all the apples, considering he will need to make multiple trips with his truck?","The farmer has a total of 2,430 pounds of apples.
Each crate holds 45 pounds, so he will need 2,430 / 45 = <<2430/45=54>>54 crates to hold all the apples.
His truck can carry 1,800 pounds per trip, which is equivalent to 1,800 / 45 = <<1800/45=40>>40 crates per trip.
To transport all 54 crates, he will need to make 54 / 40 = <<54/40=1.35>>2 trips (rounded up to the nearest whole number).
By selling the apples at $1.25 per pound, the total revenue generated will be 2,430 * $1.25 = $<<2430*1.25=3037.5>>3,038 (rounded to the nearest whole number).
#### 3038"
"A construction company is building a new office complex. The complex will have 12 buildings, each with 8 floors. Each floor will have 20 offices. The construction company charges $2,500 per office. If the company has already completed 5 buildings, how much more money will they earn for completing the remaining buildings?","The complex will have a total of 12 * 8 * 20 = <<12*8*20=1920>>1920 offices.
For 1920 offices at $2,500 each, the total cost will be 1920 * $2,500 = $<<1920*2500=4800000>>4,800,000.
The 5 completed buildings contain 5 * 8 * 20 = <<5*8*20=800>>800 offices.
These 800 offices have earned the company 800 * $2,500 = $<<800*2500=2000000>>2,000,000 so far.
The remaining earnings for completing the final 7 buildings will be $4,800,000 - $2,000,000 = $<<4800000-2000000=2800000>>2,800,000.
#### 2800000"
"A bakery uses 2.5 cups of flour to make a batch of 18 cookies. If a 5-pound bag of flour contains approximately 18 cups of flour, how many whole batches of cookies can be made from 3 bags of flour?","One 5-pound bag of flour contains approximately 18 cups of flour.
3 bags of flour will contain 3 * 18 = <<3*18=54>>54 cups of flour.
Each batch of cookies requires 2.5 cups of flour.
With 54 cups of flour, the bakery can make 54 / 2.5 = <<54/2.5=21.6>>21.6 batches.
Since the bakery can only make whole batches, they can make <<round(21.6,0)=22>>22 batches of cookies from 3 bags of flour.
#### 22"
"Emily has a goal of running 100 miles in 20 days. So far, she has run 12 miles on Day 1, 8 miles on Day 2, 6 miles on Day 3, and 9 miles on Day 4. On average, how many miles per day does she need to run for the remaining days to reach her goal?","So far, Emily has run 12 + 8 + 6 + 9 = <<12+8+6+9=35>>35 miles.
She has 100 - 35 = <<100-35=65>>65 miles remaining to reach her goal.
Emily has already run for 4 days, so she has 20 - 4 = <<20-4=16>>16 days left.
To determine the average miles per day needed, we divide the remaining miles by the remaining days:
65 miles / 16 days = <<65/16=4.0625>>4.0625 miles/day
Rounding to the nearest whole number, Emily needs to run an average of <<round(4.0625)=4>>4 miles per day for the remaining 16 days to reach her 100-mile goal.
#### 4"
"Alicia is running a marathon, which is a total distance of 26.2 miles. She has been training and knows that she can run at an average pace of 6 miles per hour. However, she wants to walk for 3 minutes after every 2 miles that she runs. If she walks at a pace of 3.5 miles per hour, how long will it take her to complete the marathon?","The total distance of the marathon is 26.2 miles.
Alicia will run 2 miles, then walk for 3 minutes. This pattern will repeat.
26.2 miles / 2 miles per segment = <<26.2/2=13.1>>13 segments (rounded down since the last segment will be shorter)
13 segments * 3 minutes of walking = <<13*3=39>>39 minutes of total walking time
39 minutes = 39/60 = <<39/60=0.65>>0.65 hours
Running time:
Alicia runs at 6 miles per hour
26.2 miles - (0.65 hours * 3.5 miles/hour) = <<26.2-(0.65*3.5)=23.925>>23.925 miles left to run
23.925 miles / 6 miles per hour = <<23.925/6=3.9875>>3.9875 hours of running
Total time:
0.65 hours walking + 3.9875 hours running = <<0.65+3.9875=4.6375>>4.6375 hours
Rounded to the nearest whole number, it will take Alicia <<round(4.6375)=5>>5 hours to complete the marathon.
#### 5"
"A marathon is 26.2 miles long. If a runner maintains an average pace of 8 minutes per mile, how many minutes faster will they finish compared to a runner with an average pace of 9 minutes and 30 seconds per mile?","To find how much faster the 8 min/mile runner is, we first calculate the total time for each runner over 26.2 miles.
8 min/mile runner:
26.2 miles * 8 min/mile = <<26.2*8=209.6>>209.6 minutes = <<round(209.6)=210>>210 minutes
9 min 30 sec/mile runner:
9.5 min/mile * 26.2 miles = <<9.5*26.2=248.9>>248.9 minutes = <<round(248.9)=249>>249 minutes
The difference is:
249 minutes - 210 minutes = <<249-210=39>>39 minutes
#### 39

The 8 min/mile runner will finish 39 minutes faster than the 9 min 30 sec/mile runner over the marathon distance."
